Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
06/15/2015,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,"We are in a hardship and received a letter regarding bringing our account current by XXXX XXXX, 2015 to avoid foreclosure proceedings. When I called on XXXX XXXX, 2015 XXXX to make the payment to bring the account completely current per Citi 's letter, I first spoke with XXXX. He transferred me to XXXX and at approximately XXXX, I was told "" it did n't matter '' and that "" I was in "" their '' department now. '' I could make payments, but it would n't mean anything. XXXX was extremely rude and condescending. I asked to talk to a manager and she said "" MANAGERS DO N'T TAKE CALLS ''. She kept condescendingly saying we had n't made any payments. We have. I told her this and she said "" well it was n't enough and you 're in our department now. '' When I asked why they were not honoring what they had sent IN WRITING to resolve the delinquency she said "" their department '' did n't write it, she did n't know who did, THAT LETTER MEANS NOTHING and just kept repeating herself. 
",,Citibank,MO,633XX,,Consent provided,Web,06/15/2015,Closed with non-monetary relief,Yes,No,1421473
07/28/2015,Credit reporting,,Incorrect information on credit report,Account status,"I have been in conversation with both XXXX Bank and Transunion and have requested my mortgage accounts with XXXX Bank be reported. XXXX Bank has been working for almost 2 years trying to correct this and Transunion refuses to add my two accounts with XXXX Bank to my credit report. They continue to tell me to contact XXXX Bank which I have done many times. I would like assistance from you to have Transunion correctly report my two accounts with XXXX Bank to my Transunion Credit report. 
",Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",CA,945XX,,Consent provided,Web,07/28/2015,Closed with explanation,Yes,No,1489640
07/28/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Sued w/o proper notification of suit,"I have received several calls to collect a debt. I would be fine paying the bill if the person on the other line had n't called me offensive names and threatened to sue me. When asked to speak with her supervisor she has been belligerent and rude. I am uncomfortable receiving calls from this company. They have called me several times a day for the last three weeks. 
",Company believes complaint caused principally by actions of third party outside the control or direction of the company,TCF National Bank,MN,554XX,,Consent provided,Web,07/28/2015,Closed with explanation,Yes,No,1489945
07/28/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"I was in search of information about BOA 's Privacy Assist ( I have been a customer of this service for quite a few years ) when I saw that in XXXX, there had been a judgment against them by CFPB and that they had n't been providing the monitoring that they were promoting. I never received any notification of this, nor did I receive any settlement. I continue to be billed $ XXXX for "" XXXX XXXX XXXX '' thinking this is protecting my credit. My online statements reveal that this dates back to at least XX/XX/XXXX, and probably further, if I can get paper statements. Can you advise if I should have discontinued this service, or should have received some sort of notification/settlement from BOA? I am disturbed to have never been apprised of this, despite keeping up to date on the news, including financial news! 
",Company chooses not to provide a public response,Bank of America,MA,018XX,Older American,Consent provided,Web,07/29/2015,Closed with explanation,Yes,No,1489988
07/28/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,"After getting denied a loan modification and then denied a repayment plan, I applied for a short sale with Ocwen almost 2 years ago. Since then I have lost 3 buyers. I send Ocwen everything they request in a timely manner but they still call and email saying they need everything that has already been sent. Whenever I call, I get told something different every time. I 've been told it is approved then call back asking for the approval letter and told it is still under review. The files stay "" in review '' for months. Whenever I ask for a manager I am told none are available but will call you back, yet I never receive a call back. They are forcing my property into foreclosure. 
",,Ocwen,MD,210XX,,Consent provided,Web,07/28/2015,Closed with explanation,Yes,Yes,1490133
07/28/2015,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,"My complaint is against BB & T. The story begins back in XXXX of XXXX with my attempts to contact them to refinance my XXXX and XXXX mortgages because I knew that in the coming months I would not be able to afford both mortgages but might could if I combined them into XXXX. Despite numerous attempts on my part to get someone to contact me a out a refi, the time came when I was XXXX month away from having no more money to fall back on to make my regular payment. So I contacted their collection department to let them know about the impending doom. Since i was still current they could not help me, which I already knew but didnt know who else to call, so they transferred me to their loan modification department. I explained my story again and was told they could n't help me until I was already behind. I explained to them that XXXX Bank held the XXXX mortgage. They said do t worry about them because since they were in second position they couldnt take our house. When I finally had no other choice but to get behind I called their loan modification dept again. To make a long story short, after filling out the same exact paperwork XXXX TIMES and having them tell us on the XXXX XXXX attempts that they never received it, on the fourth attempt my husband stayed on the phone with an actual person until he received it via fax at which point we were told foreclosure had already been started and there was nothing that could be done. OF COURSE NOT!! 
Since that time which by this point was I think late XXXX, keeping in mind that I had to file BANKRUPTCY in XXXX to make this "" go away '' or so I thought. Since that time they have "" foreclosed '' on this house XXXX TIMES, didnt know that was even possible. XXXX of which were after I filed the chapter XXXX BK and they did send letters to us and run our names in our local paper each time. At the third attempt of their attorney contacting us, we had an attorney friend of mine send them a cease and desist letter. To NO ONE 'S SURPRISE they changed lawyers and contacted us AGAIN. They are going to run it in our local paper AGAIN! 
I will say this with 100 % honesty ; if I had known back in XXXX that it would take them this long to get their ducks in a row, I would have just lived for free in that house and AT LEAST it would not be in the shape it is in after having set for FIVE years basically unattended. 
This is ridiculous! It is unprofessional to say the least! I have NO CLUE how it is not perceived as harassment because LET ME ASSURE YOU I feel harrassed! Especially after I made every good faith effort I possibly could to work this debt out before it got to the point it did. 
The damage has already been done to me and my family by these .... People! Please investigate their heinous business practices and stop them from doing this to others. 
",Company chooses not to provide a public response,BB&T Financial,AL,350XX,,Consent provided,Web,07/29/2015,Closed with explanation,Yes,No,1490164
07/28/2015,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"NO Options for Underwater Refinance HARP Ineligible Loans : As I completed the initial steps of the refinance process over the last few weeks, I had some uncertainty as to appraisal value of my home but thought that it was presently an ideal time to attempt refinancing as there were numerous sales in my area in the last XXXX months and at increasing prices. The actual appraisal value of my home completely shocked and disappointed me. The appraisal value indicated that I am severely underwater by almost - {$80000.00} XXXX 80 % of the appraisal value in relation to the unpaid loan amount ). Refinancing, if it happens, is going to be a hurdle because according to Wells Fargo, the least amount of cash I would need to bring to closing is approximately {$45000.00}, with private mortgage insurance ( PMI ) premium payments each month. PMI will most likely take several years before it is eliminated based on how underwater I am currently. 
I want to honor my debt with Wells Fargo but I also want take advantage of the lower interest rates. I want to remain and continue raising my family in my home in XXXX XXXX. I am employed. Thank XXXX. I have never been late on payments of any of my debts, including my mortgage. Thank XXXX. I have a very good credit rating. Thank XXXX. 
I know that I am not eligible for assistance under HARP, because my original loan is not XXXX or XXXX XXXX. I was informed that my loan was packaged and sold by Wells Fargo to XXXX and that there are no programs to assist me, although I am underwater. This fact is hard to accept because accepting this fact would lead me to believe the saying that the "" nice gals finish last ''. This is a saying I am not willing to accept because I always step out on faith. I do n't think my issue is a unique one and I hope something can be done to help me refinance. 
I am writing to bring this to your attention and I am hoping to get some assistance as the window for me to refinance is closing. 
There should be some help extended to homeowners like myself who want to take advantage of the lower interest rates but can not because of having a underwater value to mortgages who are not HARP eligible because banks pooled and sold mortgages to private investors who have not done a thing to help since the housing market collapse. Some pressure should have been placed on these investors and help extended whether for HARP eligible or not. 
",Company chooses not to provide a public response,Wells Fargo & Company,NJ,070XX,,Consent provided,Web,07/28/2015,Closed with explanation,Yes,No,1490193
07/28/2015,Credit card,,Application processing delay,,"I am in the process of applying for Lowe 's discount credit card. They are asking for both date of birth and Social Security Number. Is this safe to do so, in the light of 'Identitytheft ' dangers? 
",,Synchrony Financial,PA,152XX,,Consent provided,Web,07/28/2015,Closed with explanation,Yes,No,1490217
08/20/2015,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,"On XXXX XXXX, 2015, I was looking to refinance my home and used XXXX to find me the top lenders in the US that had the best rates and lowest fees. The first one that came up was XXXX XXXX XXXX, so I called them. I got in touch with XXXX XXXX, Sales Manager. I told her that I would like to refinance my home and needed a quote. She asked me for some personal information such as income, credit score, home loan balance, cash out amount, what I thought the value of my home was, etc. which I gladly provided to her verbally. Once she obtained this information she verbally informed me of the rates and fees I qualified for. There was a substantial amount of information therefore I asked her to email it to me, which she said she gladly would and did at XXXX. We continued our conversation and I told her that the fees she 's charging are really high and that I was looking for a XXXX fee refinance with lower interest rate than what I was paying at the time. At that point she said that XXXX XXXX XXXX has the best rates and the lowest fees in the industry guaranteed. She continued to say that if they can not beat a competitor 's price, they 'll give me {$1000.00}. I said great, send the quotes on over and I 'll look it over and do my shopping to see if there are lenders with better rates and lower fees than XXXX XXXX XXXX. Low and behold I called about XXXX other lenders and all of them had lower fees than XXXX XXXX XXXX. I did n't want to bombard XXXX with all the details I received and instead sent her the lowest rates I found to see if she could beat it at XXXX the same day. She tried to call me at around XXXX the same day but I was not available so she emailed me saying "" I just tried to reach you by phone and did n't have any luck. I am questioning the validity of these quotes. If you receive a GFE please forward it over. '' I called her soon after and she questioned all the details on the quotes such as does it include all the closing fees etc. I told her it 's all there all she needs to do is click on the word "" details '' and it will show exactly what this lender is charging. She did that and saw that all the closing fees were there however she still asked if I could send her a GFE from this lender to see if she could beat it and that the quote is valid. On XXXX XXXX, 2015 at XXXX I emailed her a copy of the GFE as requested stating that the rate is at 4 % however it 's at XXXX cost except for the impound deposit. She replied back to me via email the same day at XXXX and said, "" A few things, after you proceed make sure you request a GFE that shows that your rate is good to a future date. The date on here says XX/XX/XXXX, which is understandable because they may not be able to lock your rate in until you submit all your paperwork but just make sure that once that happens you request GFE that shows the date the rate is available through is beyond today 's date otherwise you 're floating and anything can happen. Also it appears that this company is a broker, which means that they are banking on a lender to approve the rate terms and loan as a whole hopefully nothing changes. This is an excellent deal if it transpires. I wish you all the luck in the world and should you close on these terms go ahead and forward me a copy of the final HUD to take advantage of our terms guarantee pending qualification. '' That to me says that XXXX XXXX XXXX could not beat it. They are now refusing to pay the guarantee. 
",Company believes the complaint is the result of a misunderstanding,"Fisher Financial Group, Incorporated",CA,945XX,,Consent provided,Web,09/01/2015,Closed with non-monetary relief,Yes,No,1529194
11/21/2016,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,"This is a follow up to CFPB Claim # XXXX in which Ocwen says : "",,,, the investor of the account prior to receiving the payoff amount was XXXX. XXXX XXXX. However, Ocwen was servicing the account prior to the account 's payoff ; therefore, all inquiries should be directed to our office. It is important to note that the ownership of an account may change from time to time and in many cases will not be the original investor of the loan or remain the same throughout the life of a loan. '' My request was for Ocwen to ask his investor how is it possible that if XXXX XXXX obtained the assignment in XXXX ( per their documents which by the way has forged signatures ), assigns the loan in XXXX to XXXX XXXX XXXX who keeps it until XXXX but XXXX never clears the assignment ( per XXXX assignment issued by The XXXX XXXX XXXX issued in XXXX - copy previously attached ). 

XXXX XXXX XXXX submitted a XXXX to the shares against this unit in XXXX XXXX. It is clear that 2 parties were claiming ownership of the loan against my unit. Is n't this fraud? 

The fact that there was no XXXX continuation is irrelevant since Ocwen 's client - XXXX XXXX never cleared the original assignment. Therefore, I suggest that Ocwen obtain clarification from his investors. 
The mere fact that XXXX XXXX retained an assignment which remains unclear, and being that Ocwen was the servicer of the loan until its payoff in XXXX, gives Ocwen the obligation to file a XXXX. 
Based on Ocwen 's response which included a statement indicating that they have 'found ' a XXXX filed XXXX and their continued claims that they had filed a document with the county, indicates to me that they agree with my request above. However, they failed to note that the XXXX they found and enclosed, belonged to apartment XXXX ( It was not a typo. I owned XXXX units up until XXXX - XXXX and XXXX in the same building. I sold XXXX in XXXX ) Ocwen served the loan against apartment XXXX. Furthermore, how is that Ocwen does n't know what they filed. Very difficult to comprehend that the whole Ocwen team is this incompetent. 

Therefore, the recorded document they attached DOES NOT FULFILL OCWEN 'S OBLIGATION TO ACKNOWLEDGE THAT THE ACCOUNT IS PAID IN FULL NOR SUCH RECORDING MAKES IT A MATTER OF PUBLIC RECORD THAT OCWEN NO LONGER CLAIMS ANY INTEREST IN THE ABOVE PROPERTY WITH RESPECT TO THIS ACCOUNT as they indicate since it reflects incorrect address and makes reference to the file against a different unit/shares. 

Ocwen further stated on the previous response : "" As previously advised, XXXX XXXX is an owner 's corporation/property management company. The XXXX and XXXX XXXX, previously provided to you, completed between XXXX XXXX XXXX and XXXX XXXX XXXX XXXX XXXX XXXX, which has XXXX Park 's name listed as an investor. '' It is unclear to me, what the role of XXXX XXXX is on my loan. Ocwen stated : "" XXXX as an owner 's corporation/property management company and then further states that XXXX XXXX is listed as an investor '' - -- which one is it and does that mean that there was a third investor on my loan??? why? and how come none of this was disclosed. What are they getting for being part of the loan to which they did n't contribute a dime to, I want to know.",,Ocwen,NJ,071XX,,Consent provided,Web,11/21/2016,Closed with explanation,Yes,No,2216794
